"No.","Radio ID","Name","Call Type","Call Alert"
"1","3153","WASH 1","Group Call","None"
"2","103153","WASH 2","Group Call","None"
"3","3187","PNW 1","Group Call","None"
"4","103187","PNW 2","Group Call","None"
"5","3181","Local 1","Group Call","None"
"6","3166","Local 2","Group Call","None"
"7","8951","TAC 1","Group Call","None"
"8","8952","TAC 2","Group Call","None"
"9","8953","TAC 3","Group Call","None"
"10","310","TAC 310","Group Call","None"
"11","311","TAC 311","Group Call","None"
"12","312","TAC 312","Group Call","None"
"13","319","TAC 319","Group Call","None"
"14","3168","I5 1","Group Call","None"
"15","3027","BC 1","Group Call","None"
"16","3141","Oregon 1","Group Call","None"
"17","3116","Idaho 1","Group Call","None"
"18","3130","Montana 2","Group Call","None"
"19","3106","California 1","Group Call","None"
"20","3115","Hawaii","Group Call","None"
"21","313","TAC 313","Group Call","None"
"22","3177","MTN 2","Group Call","None"
"23","31328","SNARS 2","Group Call","None"
"24","3160","DCI 1","Group Call","None"
"25","3162","DCI 2","Group Call","None"
"26","3777215","Comm 1","Group Call","None"
"27","3100","USA 3100","Group Call","None"
"28","1776","USA 2","Group Call","None"
"29","3161","WW 2","Group Call","None"
"30","13","WW Eng 2","Group Call","None"
"31","3163","NA 2","Group Call","None"
"32","9998","Parrot 1","Group Call","None"
"33","9","TG 9","Group Call","None"
"34","3190","PS 1","Group Call","None"
"35","103190","PS 2","Group Call","None"
"36","314","TAC 314","Group Call","None"
"37","9999","Audio Test","Group Call","None"
"38","31077","PAPA","Group Call","None"
"39","103027","BC 2","Group Call","None"
"40","3183","BC Local Net 1","Group Call","None"
"41","377216","Comm 2","Group Call","None"
"42","302","Canada 2","Group Call","None"
"43","3022","Quebec 2","Group Call","None"
"44","3023","Ontario 2","Group Call","None"
"45","3026","Alberta 2","Group Call","None"
"46","3029","New Brunswick 2","Group Call","None"
"47","3024","Manitoba 2","Group Call","None"
"48","113","UA English 113","Group Call","None"
"49","123","UA English 123","Group Call","None"
"50","31150","Hawaii 2","Group Call","None"
"51","31068","NorCal","Group Call","None"
"52","3102","Alaska","Group Call","None"
"53","31301","MPRG","Group Call","None"
"54","31329","SNARS","Group Call","None"
"55","31066","SoCal","Group Call","None"
"56","3191","Cascades East","Group Call","None"
"57","315","TAC 315","Group Call","None"
"58","316","TAC 316","Group Call","None"
"59","317","TAC 317","Group Call","None"
"60","318","TAC 318","Group Call","None"
"61","31771","PNW Reg 2","Group Call","None"
"62","31160","Idaho ARES","Group Call","None"
"63","3182","Fusion 2","Group Call","None"
"64","3126","Michigan 1","Group Call","None"
"65","8958","TAC 8","Group Call","None"
"66","103126","Michigan 2","Group Call","None"
"67","103100","Bridge 2 DCI","Group Call","None"
"68","3149","Utah","Group Call","None"
"69","3104","Arizona","Group Call","None"
"70","3127","Minnesota","Group Call","None"
"71","3148","Texas","Group Call","None"
"72","93","NA TG 93","Group Call","None"
"73","92104","Telrad","Group Call","None"
"74","99","DigSimp","Group Call","None"
"75","31075","BayNet","Group Call","None"
"76","4000","BM Disconnect","Group Call","None"
"77","31010","NXDN Alabama","Group Call","None"
"78","1200","NXDN Florida","Group Call","None"
"79","10200","NXDN N America","Group Call","None"
"80","28299","NXDN Ragchew","Group Call","None"
"81","65000","NXDN Worldwide","Group Call","None"
"82","31083","NoCO","Group Call","None"
"83","31088","Colorado HD","Group Call","None"
"84","709999","NXDN Disconnect","Group Call","None"
"85","31002","Net 2","Group Call","None"
"86","31001","Net 1","Group Call","None"
"87","16771471","B'ham V TS1 On","Group Call","None"
"88","16770471","B'ham V TS1 Off","Group Call","None"
"89","16771482","B'ham V TS2 On","Group Call","None"
"90","16770482","B'ham V TS2 Off","Group Call","None"
"91","16771691","B'ham U TS1 On","Group Call","None"
"92","16770691","B'ham U TS1 Off","Group Call","None"
"93","16771702","B'ham U TS2 On","Group Call","None"
"94","16770702","B'ham U TS2 Off","Group Call","None"
"95","8959","EmComm 2","Group Call","None"
"96","8957","EmComm 1","Group Call","None"
"97","31000","BM Parrot","Group Call","None"
"98","31607","7th Call Zone","Group Call","None"
"99","2","TG 2","Group Call","None"
"100","31538","WASH EMCOMM","Group Call","None"
"101","31539","WASH TAC","Group Call","None"
"102","91","WW TG 91","Group Call","None"
"103","913","WW Eng TG 913","Group Call","None"
"104","9990","BM Parrot PC","Private Call","None"
